id,produto,funcionarios,vendas,clientes,preco,estoque
27,Pumpkin - Seed,Mart Ganley,$103.52,Maggie Ritmeier,$627.39,860
28,Vanilla Beans,Alanah Lavelle,$913.45,Forster Huckin,$626.62,282
29,"Wine - Red, Mouton Cadet",Lisetta Wimbridge,$723.73,Mendy Caherny,$719.11,506
30,"Oranges - Navel, 72",Tobit Scandwright,$272.72,Cahra Arnke,$432.55,201
31,Melon - Cantaloupe,Megen Dunge,$268.53,Hailee Cranch,$530.37,268
32,Tomatoes - Roma,Peirce Kantor,$69.94,Gilda Halversen,$486.79,405
33,Apple - Northern Spy,Barth Dyson,$435.13,Svend Wapplington,$539.67,311
34,True - Vue Containers,Elita Imlach,$815.91,Halsey Cleobury,$136.42,675
35,"Juice - V8, Tomato",Monty Chasemore,$570.21,Innis Frankcomb,$794.98,183
36,Water - Perrier,Welch Spohr,$961.94,Archie Harry,$390.98,353
37,Wine - Chianti Classica Docg,Marybeth Deerr,$608.76,Guinna Hutable,$27.45,749
38,Brandy Apricot,Billy Legging,$320.20,Ivonne Persence,$502.31,243
39,Cheese - Parmesan Grated,Joli Selliman,$522.90,Lauren Fransinelli,$361.56,224
40,Kiwi,Bendicty Worshall,$903.70,Gretel Dmisek,$162.87,357
41,Carrots - Mini Red Organic,Devlen Maffiotti,$890.46,Cyril Amorine,$907.10,58
42,Lid Coffeecup 12oz D9542b,Alano Swatradge,$583.79,Dorolice Cremen,$937.95,263
43,Spice - Pepper Portions,Vicki Gudyer,$289.00,Alvinia Gipson,$772.18,400
44,Chevril,Kathi Simonetto,$709.31,Ashbey Birtwell,$310.88,246
45,Flower - Commercial Spider,Hiram Gaven,$699.84,Marylynne Hannant,$134.77,968
46,Sage Derby,Alexandra Rawdall,$954.12,Davine Castanie,$970.21,1
47,Chicken Breast Halal,Belvia Macallam,$118.38,Aubrie Upshall,$274.20,172
48,Pepper - Red Chili,Rebekkah Lumbly,$138.14,Athene Greneham,$195.29,132
49,Appetizer - Crab And Brie,Lebbie Earles,$166.26,Horace Curdell,$438.68,192
50,Fruit Salad Deluxe,Silvain Elcoux,$101.82,Joli Elletson,$93.55,148
51,Cheese - Stilton,Jemmy Ricioppo,$346.67,Anya Beet,$922.90,29
52,Pork - Smoked Back Bacon,Thekla Claybourn,$400.23,Philip Boarleyson,$649.19,634
53,Coffee - Frthy Coffee Crisp,Alix Arthy,$509.05,Audrye Antosik,$24.65,818
54,Nantucket - Carrot Orange,Frasquito Cane,$494.78,Omero Bonner,$392.71,363
55,Goldschalger,Juieta Wheelton,$123.55,Donall Eldon,$33.89,890
56,Sambuca - Ramazzotti,Dalila Yellowley,$719.36,Maryanne Onele,$361.79,652
57,Sherbet - Raspberry,Christye Dumigan,$527.86,Christean Drew-Clifton,$244.11,611
58,"Bread - Bagels, Mini",Marlow Stenbridge,$926.16,Jackie MacGuigan,$883.36,881
59,Capicola - Hot,Amalita Salkeld,$141.38,Ericha Tape,$339.09,720
60,Langers - Cranberry Cocktail,Sky Sherwood,$233.53,Constanta Rossander,$638.12,876
61,Wine - Redchard Merritt,Ashley McGahey,$839.04,Rudd Mocher,$148.14,928
62,Cheese - Oka,Joannes Mellmoth,$494.02,Retha Swiffin,$784.75,47
63,Mushroom - Chanterelle Frozen,Robb Moulden,$880.47,Juanita Boggon,$596.03,350
64,Juice - Cranberry 284ml,Perry Endean,$774.39,Cindi Sutcliff,$61.49,151
65,Sambuca Cream,Arv Rablen,$509.64,Geri Le feuvre,$864.22,919
66,Magnotta - Bel Paese White,Nessy Croshaw,$374.89,Zachariah MacGilmartin,$891.76,80
67,Alize Sunset,Deena Trowsdall,$790.92,Carlota Josskoviz,$48.10,173
68,Lid Tray - 12in Dome,Sallee Riccardelli,$190.74,Alexa Pusey,$366.68,454
69,Appetizer - Veg Assortment,Karlyn Skamell,$909.64,Neill Falshaw,$704.78,464
70,Bread - Rye,Prinz Leinster,$828.46,Hayes Coutthart,$685.70,742
71,"Rum - Dark, Bacardi, Black",Jessamine Lebang,$159.57,Harley Capenor,$16.78,464
72,"Roe - Lump Fish, Red",Terry Pelzer,$567.28,Terrel Millichap,$793.84,811
73,"Roe - Lump Fish, Red",Frankie Olyff,$276.28,Robinet Furman,$984.56,362
74,Oxtail - Cut,Kiah Kleisel,$874.94,Terza Pigrome,$60.12,40
75,"Bread - Roll, Whole Wheat",Simeon Klus,$33.76,Linnie Himpson,$657.64,645
76,Glass - Juice Clear 5oz 55005,Odille Branca,$328.40,Zonda Franzoli,$215.78,105
77,Wine - Shiraz Wolf Blass Premium,Alano Eastcott,$899.60,Novelia Nelthrop,$162.57,928
78,Soup Campbells,Maggee Danilchev,$919.09,Carney McKeevers,$991.78,180
79,Towel Dispenser,Neille Brayshaw,$869.62,Marne Scedall,$555.41,107
80,Appetizer - Cheese Bites,Wolfie Blumson,$450.79,Agneta Zotto,$614.56,424
81,Soup - Chicken And Wild Rice,Kristoforo MacAnelley,$688.71,Yale Shovlin,$940.83,941
82,Stainless Steel Cleaner Vision,Dianne Gornall,$812.98,Atlante Longforth,$594.39,279
83,"Bread - Roll, Whole Wheat",Jeni Adamec,$493.50,Sianna Malia,$474.14,177
84,Puree - Pear,Adelice New,$558.01,Patin Elsom,$919.05,202
85,Garlic - Peeled,Aretha Sturzaker,$319.39,Lilias Katte,$435.55,111
86,"Brocolinni - Gaylan, Chinese",Ellissa Nellis,$738.81,Larissa Ledstone,$47.92,199
87,Beef - Salted,Gilburt Rohlfs,$126.90,Kerr Pecht,$311.36,142
88,Wine - Alsace Riesling Reserve,Thain Coumbe,$84.97,Glenna Robiou,$828.42,60
89,Soup Campbells - Italian Wedding,Ned Riccardi,$525.23,Dulci Choake,$727.07,231
90,"Seedlings - Mix, Organic",Danell Hattersley,$384.99,Meris Skewis,$446.39,706
91,"Beef - Tenderlion, Center Cut",Fianna Toffanelli,$29.68,Giselbert Reuss,$742.01,749
92,Soup Bowl Clear 8oz92008,Angelina Dorton,$683.57,Jeanine Stallybrass,$300.21,799
93,Longos - Chicken Curried,Morgan Longfoot,$908.53,Casi Brumwell,$216.44,542
94,Tomato - Green,Michel Skully,$246.36,Maiga Kinahan,$632.88,939
95,Bar Nature Valley,Allianora Normington,$464.93,Mark Dallaghan,$116.87,884
96,Cotton Wet Mop 16 Oz,Truman Jeays,$177.54,Marieann Pughsley,$791.64,861
97,Tobasco Sauce,Sheilah Johnston,$655.22,Noelani Offin,$896.88,575
98,Scallops - In Shell,Maryrose Massow,$82.49,Sophronia Healey,$706.84,909
99,Munchies Honey Sweet Trail Mix,Teodoor Dabbes,$559.49,Tandi Espin,$40.93,906
100,Oil - Peanut,Esta Kesper,$438.18,Rachele McIlhone,$334.82,371
101,"Bread - Roll, Canadian Dinner",April Duffree,$832.05,Noach Leman,$347.39,291
102,Propel Sport Drink,Milly Potteridge,$575.40,Rhett Oganesian,$981.74,626
103,Taro Leaves,Haleigh Buard,$827.21,Fara Rideout,$542.37,290
104,Pork Ham Prager,Emilia Harmes,$196.90,Alfi Conkie,$822.81,407
105,Bar Bran Honey Nut,Patience Sewall,$388.03,Christine De Ambrosis,$212.42,787
106,Oven Mitt - 13 Inch,Jedidiah O'Fihillie,$808.75,Lorette Colville,$279.92,256
107,Wine - Prosecco Valdobiaddene,Odelinda Faich,$281.07,Adore Clevely,$895.29,859
108,"Pork - Butt, Boneless",Gabey Skrine,$416.48,Morganne Trask,$902.32,255
109,Versatainer Nc - 9388,Robin Caizley,$434.09,Noak Gaye,$731.88,132
110,Bread - Corn Muffaleta Onion,Frants Ubsdall,$51.76,Reta MacCrosson,$784.16,626
111,Milk - Condensed,Evered O'Hagirtie,$388.14,Ash Baudic,$161.01,385
112,Turkey - Ground. Lean,Igor Freyn,$776.82,Enrique Thorn,$441.12,316
113,Muffin Mix - Blueberry,Fenelia Jagiela,$462.54,Malanie Espie,$850.16,487
114,"Vermacelli - Sprinkles, Assorted",Haily Ackerley,$729.63,Keane Rubenovic,$280.70,839
115,Island Oasis - Raspberry,Fina Rand,$237.24,Thorn Tall,$755.45,206
116,Mints - Striped Red,Lek Haysey,$503.43,Othilie Casterou,$357.68,210
117,Pears - Fiorelle,Gal Wearing,$777.45,Emogene Inglesent,$981.29,969
118,Table Cloth 90x90 White,Wini Izzatt,$409.36,Ula Feldmark,$717.38,219
119,Beans - Fava Fresh,Tracey Gawthrop,$156.40,Evie Emblen,$162.43,328
120,Sandwich Wrap,Susannah Gecke,$163.09,Chick Barrat,$73.68,271
121,"Wine - Red, Cabernet Merlot",Adolpho Varrow,$632.13,Basil Ramsell,$20.46,730
122,Oil - Avocado,Dukey Gunson,$480.65,Garrek Moxted,$462.23,953
123,Pepper - Pablano,Cliff Fumagalli,$73.04,Magdalena Cestard,$560.55,310
124,Table Cloth 90x90 Colour,Corene Bedle,$364.79,Philbert Oliveti,$118.32,920
125,Bread - Focaccia Quarter,Quillan Obee,$439.29,Rebbecca Breem,$169.05,734
126,"Coffee - Colombian, Portioned",Nixie Bennedick,$382.26,Peria Aven,$778.49,496
127,Ham - Proscuitto,Emogene Grigore,$672.56,Renata Paskerful,$598.88,534
128,Bread - Crusty Italian Poly,Vivyan Pringer,$736.68,Joachim Swale,$748.46,62
129,"Tart Shells - Sweet, 4",Enos De Gogay,$536.11,Bondy Crompton,$922.95,902
130,Lemonade - Pineapple Passion,Hector Swaite,$997.16,Audi Stares,$139.98,257
131,Remy Red,Waly Redgate,$859.05,Luz Stephenson,$744.64,462
132,Baking Soda,Merilyn Archdeacon,$333.17,Lexi Klais,$930.14,722
133,Table Cloth 54x54 Colour,Arin Itzkovitch,$124.33,Steffie Quemby,$367.70,684
134,Muffin - Mix - Bran And Maple 15l,Babbie Rea,$750.90,Paola Cordeux,$406.77,734
135,Mace,Dita Lambe,$448.65,Pattie Winear,$81.72,652
136,Steampan - Half Size Shallow,Ros Santorini,$387.61,Lorrin Kernock,$357.52,388
137,"Gingerale - Schweppes, 355 Ml",Graham Windross,$247.41,Chicky Habbes,$928.24,559
138,Chef Hat 25cm,Georgine Janton,$431.37,Sally Mountfort,$328.58,571
139,"Doilies - 5, Paper",Bili Gypps,$376.93,Gavra Fillon,$125.06,385
140,Blouse / Shirt / Sweater,Kylie Donner,$691.00,Trip Carnew,$410.14,222
141,Apples - Spartan,Adolpho Brookzie,$619.35,Karim O'Currigan,$757.51,258
142,"Chocolate - Semi Sweet, Calets",Pegeen Falkous,$427.62,Virgie Claricoats,$657.66,533
143,Flax Seed,Vinson Waison,$549.38,Harcourt Brideau,$504.07,31
144,"Veal - Tenderloin, Untrimmed",Pet Yerrington,$740.26,Silvio Harwin,$493.96,696
145,Port - 74 Brights,Rora Bennell,$699.93,Ree Palk,$698.90,693
146,Nantucket - Carrot Orange,Yvonne Kimmince,$263.57,Magda Squirrel,$680.96,435
147,Food Colouring - Red,Andie Gudgeon,$277.21,Julienne Dufer,$276.22,769
148,Muffin Orange Individual,Arlina Hazlegrove,$567.26,Jeniffer Blakeway,$685.19,754
149,Ice Cream Bar - Oreo Cone,Matilde Haddacks,$407.26,Merla Krollmann,$296.67,732
150,Wine - Beaujolais Villages,Bradney Nalder,$745.54,Julieta Wilmot,$424.84,519
151,Couscous,Leodora Clancy,$656.77,Dieter Giercke,$533.52,141
152,Cake - Cheese Cake 9 Inch,Vinny Rayhill,$803.32,Gunther Leverson,$766.95,979
153,"Cheese - Mozzarella, Shredded",Abigale Steed,$498.21,Burr Endicott,$7.33,74
154,Pepper - Scotch Bonnet,Edmon Scrinage,$80.01,Ebba Hutsby,$240.00,882
155,"Pasta - Penne, Rigate, Dry",Allx Iscowitz,$41.83,Guglielma Casserly,$115.99,803
156,Black Currants,Kai Bartolomeo,$680.86,Amalita McShane,$490.47,287
157,Smirnoff Green Apple Twist,Zenia Longstreeth,$711.64,Gallagher Romushkin,$512.79,227
158,Pork Casing,Ezri Comerford,$710.48,Garner Pawden,$645.54,269
159,"Soup - Knorr, Classic Can. Chili",Krishnah Chastaing,$528.38,Bernarr Threadgould,$139.22,761
160,Parsley Italian - Fresh,Way Fitt,$109.22,Dalia Goodsir,$748.84,954
161,Napkin Colour,Derk Sahnow,$903.47,Ruth Nouch,$728.97,58
162,"Croissant, Raw - Mini",Jessy Titheridge,$490.03,Winifield Broad,$685.76,38
163,Chocolate Bar - Smarties,Marielle Formoy,$998.62,Laraine Sucre,$656.29,779
164,"Pasta - Lasagne, Fresh",Barbie Gooderidge,$78.88,Adelind Croley,$396.25,495
165,"Wine - White, Riesling, Semi - Dry",Tamma Lulham,$9.18,Caroljean Dymock,$151.41,235
166,Spring Roll Wrappers,Brittaney Elsworth,$883.30,Vaughn Quernel,$34.98,408
167,Gatorade - Cool Blue Raspberry,Fernandina Fedder,$643.79,Gan Dall,$805.54,950
168,"Zucchini - Mini, Green",Chery Bennellick,$792.65,Emory Gredden,$261.49,295
169,Snapple - Mango Maddness,Royall McIlharga,$635.19,Aleksandr Realph,$23.33,116
170,Lamb Tenderloin Nz Fr,Stacy Connikie,$420.99,Sayers Sekulla,$959.03,780
171,Nantucket - Carrot Orange,Letti Gai,$758.90,Nathaniel Cutler,$595.51,771
172,Beef - Top Sirloin,Leif Winchcum,$835.27,Julita Grelak,$630.27,631
173,Chutney Sauce - Mango,Stephannie Stanyland,$491.84,Annabell Heatlie,$823.91,677
174,"Beef - Ox Tongue, Pickled",Zebedee Iannuzzi,$328.66,Sherill Kerman,$475.47,166
175,"Trout - Rainbow, Fresh",Shepperd Esselin,$111.03,Rasia Gaffney,$700.86,689
176,True - Vue Containers,Ode Soda,$248.07,Alford Greenin,$745.78,638
177,"Bread - Roll, Soft White Round",Andrei Doggett,$382.28,Taylor Hannent,$416.99,375
178,"Red Snapper - Fresh, Whole",Lorant Hansard,$996.40,Scotty Jebb,$934.60,833
179,Appetizer - Cheese Bites,Deane Oller,$15.08,Shelli Alesbrook,$955.51,499
180,"Fish - Scallops, Cold Smoked",Violette Beagley,$735.64,Briggs Allans,$946.96,520
181,Spic And Span All Purpose,Veriee Cashman,$840.81,Nicoli Ricciardello,$620.11,243
182,Extract - Almond,Susan Ankrett,$856.88,Siffre Dargue,$776.18,664
183,Sponge Cake Mix - Vanilla,Leonidas Dassindale,$276.58,Glen Hotson,$67.69,790
184,Sobe - Cranberry Grapefruit,Paolina Laborde,$563.99,Nissa Castelyn,$101.57,237
185,Sauce - Marinara,Georgie Patullo,$949.35,Gabriela Kowal,$319.36,218
186,Beans - Fava Fresh,Isidor Checketts,$155.92,Arlin Drover,$188.33,429
187,Pork Ham Prager,Lindsay Royan,$96.08,Sharron Lachaize,$131.27,374
188,V8 - Tropical Blend,Beau Ensor,$411.44,Enrichetta Bottrill,$288.60,753
189,"Pasta - Rotini, Colour, Dry",Hodge Oulet,$307.21,Juliana Beeswing,$111.20,983
190,Lemon Balm - Fresh,Kerr Foxcroft,$499.71,Jim Ivanichev,$114.83,211
191,"Potatoes - Yukon Gold, 80 Ct",Delano Ebbrell,$302.88,Wini Milne,$914.86,580
192,Coffee - French Vanilla Frothy,Conrad Ungerer,$663.36,Carolee Beldon,$43.98,444
193,Shichimi Togarashi Peppeers,Chrissie Dinneges,$27.72,Flint Yoxen,$648.28,644
194,Nectarines,Thurstan Streat,$755.94,Sallee Sellar,$470.03,460
195,Orange - Tangerine,Dena Bayles,$374.76,Lorain Hunnybun,$147.19,427
196,Long Island Ice Tea,Travis Ardron,$462.03,Sonja Koop,$21.65,100
197,Tarragon - Fresh,Aubrey Wasielewski,$678.41,Wait Smurthwaite,$269.62,336
198,Oil - Avocado,Clem Lytle,$470.62,Duane Povah,$705.06,100
199,Oil - Cooking Spray,Drucill Durek,$745.56,Mart Ovendon,$256.82,7
200,Lid - 0090 Clear,Gwyneth Empleton,$187.53,Tobe Edlin,$416.76,664
201,Wasabi Powder,Wilhelmina Pocklington,$835.32,Glori Pritchett,$444.43,404
202,Pastry - French Mini Assorted,Conrade Ivatt,$989.40,Melonie Shemilt,$674.88,772
203,Lighter - Bbq,Ariela Poppy,$171.90,Kirby O'Fihillie,$772.51,122
204,Basil - Seedlings Cookstown,Florella Breitling,$266.79,Maxy Boays,$379.70,223
205,"Chicken - Diced, Cooked",Laverna Asel,$701.24,Debee Mitskevich,$552.63,223
206,Plasticforkblack,Thornie Decent,$175.33,Rosalia Gurko,$344.18,814
207,"Juice - Pineapple, 341 Ml",Rhodie Calverd,$383.50,Gabbie Schirok,$849.11,689
208,"Arctic Char - Fresh, Whole",Mohammed Parzizek,$836.39,Nicky Kinane,$117.16,987
209,Cumin - Ground,Connie Avesque,$667.96,Heall Loudian,$333.91,360
210,Apricots Fresh,Adelina Heimes,$247.38,Larry Asif,$408.79,759
211,Turkey - Ground. Lean,Feliks Lascell,$679.37,Evelyn Morecombe,$298.96,659
212,Red Cod Fillets - 225g,Bastian Cullington,$715.18,Abe Macias,$251.20,937
213,Oil - Coconut,Lorenza Geely,$218.41,Fredrika Lemonby,$816.63,340
214,Stainless Steel Cleaner Vision,Finley Quiddinton,$133.49,Griffin Teodori,$449.85,66
215,Apricots Fresh,Beverlie Sirman,$297.61,Valry Hailes,$912.00,298
216,"Octopus - Baby, Cleaned",Hazel Gunney,$56.70,Luke Szymanzyk,$945.27,594
217,Wakami Seaweed,Yvette Pridding,$504.23,Benedicta Upjohn,$160.17,412
218,Whmis - Spray Bottle Trigger,Arielle Fedoronko,$170.92,Farleigh Wannell,$359.90,820
219,"Wine - White, Gewurtzraminer",Frazier Tuxell,$50.93,Lauryn Bredbury,$844.44,491
220,Bandage - Finger Cots,Rebe Gullyes,$976.77,Allyce Tolmie,$382.71,93
221,Ice Cream - Vanilla,Waylan Tumilty,$255.99,Brockie Gabby,$208.56,329
222,Chip - Potato Dill Pickle,Liesa Abotson,$960.85,Tanner Venour,$349.20,865
223,Tuna - Salad Premix,Leonard Baudouin,$648.03,Ole Tait,$118.43,988
224,Sprouts - Peppercress,Elfrieda Jest,$144.04,Glendon Rapp,$525.40,579
225,Peach - Halves,Melisandra Szachniewicz,$95.62,Alfreda Trayton,$377.71,996
226,Towel Dispenser,Yvette Spuffard,$240.27,Pembroke Margach,$404.74,137
227,Apples - Spartan,Orazio Cowoppe,$786.71,Georgina Bohike,$333.13,649
228,Beans - Yellow,Donni Gumn,$24.10,Ardene Morrison,$525.24,471
229,Sour Puss Sour Apple,Beryle Duly,$877.17,Terrie Iwanczyk,$938.83,117
230,Arctic Char - Fillets,Mella Scrimshire,$24.46,Larissa Barsham,$502.76,176
231,Grapes - Green,Saloma Fisk,$838.19,Neale Eastop,$169.77,889
232,Raisin - Dark,Stephana Ganderton,$949.52,Abram Castanho,$697.04,314
233,"Sauce - White, Mix",Ambur Blazic,$991.71,Odessa Meechan,$977.82,778
234,Kale - Red,Conney McLoney,$47.59,Adeline Baumford,$312.96,351
235,Milk - 2%,Ruthann Indge,$548.09,Morse Withers,$160.47,573
236,Wine - Peller Estates Late,Lenka Koenen,$853.74,Kala Rathbone,$931.52,365
237,"Chilli Paste, Hot Sambal Oelek",Monica Hourihan,$700.41,Page Mannock,$114.46,744
238,Energy Drink Bawls,Aldus Squibe,$137.03,Alayne Priddie,$45.33,353
239,Trueblue - Blueberry,Jack Danielli,$597.44,Kennan Roscoe,$268.76,391
240,Sauce - Vodka Blush,Pauletta Hynam,$103.48,Anstice Lean,$800.01,299
241,Pork - Back Ribs,Carmine Yeaman,$104.99,Blakelee Reinard,$485.81,414
242,Juice - Lemon,Regen Sneddon,$803.23,Domenico Sunnex,$617.20,564
243,Ecolab - Ster Bac,Loydie Preshous,$981.59,Diego De Biaggi,$748.02,527
244,Sauce - Marinara,Marietta Moodie,$565.87,Leonard Liddard,$86.35,606
245,Parsley - Fresh,Cirillo MacElane,$584.62,Jessamyn Radke,$807.91,157
246,Sauce - Ranch Dressing,Doloritas Kubec,$630.21,Sherrie Cramphorn,$945.60,126
247,"Lemonade - Strawberry, 591 Ml",Arty Cosson,$616.43,Any Tomkiss,$951.89,252
248,Jicama,Quincey Fullilove,$610.11,Hughie Klosser,$174.02,73
249,Steel Wool S.o.s,Sheila-kathryn Hutchason,$403.89,Garrot Boden,$641.34,19
250,"Bread - Sticks, Thin, Plain",Magdalene Pidduck,$933.84,Ephrayim Martineau,$944.74,626
251,Pancetta,Livy Negal,$979.04,Alair Teaze,$639.32,408
252,"Cheese - Brie,danish",Edik Jarrett,$716.19,Elga Oosthout de Vree,$447.17,571
253,Appetizer - Crab And Brie,Jarid Hollingshead,$979.48,Toni Tapsell,$811.88,705
254,Oil - Avocado,Dorothee Ferron,$759.48,Hiram Mowday,$475.61,222
255,Chicken - Base,Ricard Figurski,$625.84,Merna MacNeilley,$699.40,819
256,Eel - Smoked,Carson Kaplan,$80.14,Julie Iskowitz,$768.51,25
257,Sauce - Ranch Dressing,Bernarr Ravenhill,$23.70,Martita Peare,$299.51,178
258,Bread Country Roll,Thorny Dockray,$38.74,Merilyn Curd,$316.82,772
259,Bar Special K,Cleopatra Deeney,$418.24,Giffer Gillebride,$997.83,165
260,Muffin Chocolate Individual Wrap,Hodge Saggs,$845.09,Ethelind Sizeland,$333.73,611
261,Appetiser - Bought,Fiorenze Tilne,$951.91,Clementine Woodroffe,$725.68,59
262,Neckerchief Blck,Minor Szymczyk,$109.92,Julienne Bearward,$668.61,850
263,"Soup - Campbells, Cream Of",Ave Passey,$499.67,Garret Snewin,$995.59,415
264,Bagels Poppyseed,Bram Kilmurry,$461.65,Pepe Caverhill,$421.88,3
265,Raspberries - Frozen,Blair Mileham,$587.71,Reese Currin,$780.03,262
266,"Pasta - Rotini, Dry",Si Lamb-shine,$857.22,Rem Milch,$675.32,917
267,Irish Cream - Butterscotch,Ambrosio Prebble,$490.48,Hanna Fortman,$896.62,774
268,Jicama,Joanie Maddra,$744.08,Quentin Curgenven,$71.66,441
269,"Pork - Sausage, Medium",Tybie Hickisson,$400.79,Emogene Fryers,$461.07,834
270,"Potatoes - Purple, Organic",Eberto Dyerson,$971.41,Adolf Etuck,$140.89,211
271,Aspic - Light,Gael Geekin,$64.40,Anica Mudle,$785.91,612
272,"Artichoke - Hearts, Canned",Gaye Seefeldt,$100.70,Royal Holton,$455.72,909
273,Yogurt - French Vanilla,Konstanze Bohan,$112.17,Hannah Horley,$294.18,148
274,Puree - Raspberry,Lyndy Larwood,$144.55,Nadia Jutson,$987.40,752
275,Wine - Gato Negro Cabernet,Web Skoate,$945.27,Vernor Cuchey,$814.31,751
276,"Crab - Claws, Snow 16 - 24",Alexander Baldetti,$868.50,Pavla Baike,$425.16,739
277,Tomatoes - Orange,Anatol Noble,$146.41,Koressa Boud,$42.30,629
278,Tomato - Green,Reidar Lithgow,$445.47,Katusha Deneve,$424.45,601
279,Mace,Arlana Cherrett,$858.85,Zaccaria Ault,$260.86,768
280,Longos - Grilled Chicken With,Auberta Crenage,$668.75,Zola Abramovici,$482.69,334
281,Sprouts - Corn,Uriel Fish,$310.27,Peta Callum,$762.99,936
282,Chutney Sauce,Mina Leakner,$527.70,Skelly Vodden,$413.37,334
283,Squash - Sunburst,Corrie Wrangle,$454.78,Charyl Ethington,$448.32,919
284,Mushroom - Crimini,Swen Chippin,$887.94,Carley Barendtsen,$426.45,9
285,Cauliflower,Ebenezer Kliemke,$419.01,Laurene Sissland,$55.81,837
286,Snapple - Mango Maddness,Conrade Yakobovicz,$694.99,Morie Cadany,$358.99,849
287,Dome Lid Clear P92008h,Roderich Bater,$608.26,Griz Geary,$257.36,754
288,"Wine - White, Riesling, Henry Of",Zonnya Lister,$884.87,Golda De Benedictis,$583.14,242
289,Potatoes - Peeled,Pail Tattershaw,$430.72,Lynnell Widmoor,$531.24,314
290,Wine - Cotes Du Rhone,Mendie Seers,$279.45,Jewell MacCague,$720.21,381
291,Plaintain,Artur Chittem,$726.68,Kimmie Fero,$394.35,246
292,Goldschalger,Dyann Cullin,$274.83,Laura Vereker,$448.12,456
293,"Extract - Vanilla,artificial",Slade Wrankmore,$972.74,Haily Le Jean,$698.98,688
294,Wine - Peller Estates Late,Lock Janacek,$549.83,Estell Reglar,$101.67,879
295,Tomato - Peeled Italian Canned,Clareta Le Breton De La Vieuville,$480.64,Freddy Clemmens,$107.52,402
296,"Pail - 4l White, With Handle",Bryn Catherick,$170.26,Ira Brazenor,$820.56,468
297,"Oil - Truffle, White",Morrie Bracknall,$95.35,Redford Adair,$991.04,548
298,Cheese - Valancey,Winnie Brace,$755.25,Freemon Turley,$471.84,651
299,Wine - Chateau Aqueria Tavel,Dido Syplus,$112.74,Tomi O'Hone,$210.71,667
300,Mustard - Pommery,Jammal Ruddock,$7.06,Carmelina Goodison,$467.79,15
301,"Mushroom - Enoki, Fresh",Tani Battaille,$303.22,Federico Bertrand,$965.31,666
302,Water - Tonic,Johannes Dmitrichenko,$647.31,Jules Blackborough,$662.20,715
303,Smoked Tongue,Nick Nendick,$54.64,Nickie Cleft,$709.91,76
304,Oil - Olive,Blane Rides,$746.72,Lisha de Clerc,$623.76,109
305,Langers - Cranberry Cocktail,Cyb Reading,$687.27,Lemuel Riley,$453.94,585
306,"Pork - Loin, Boneless",Karna Struther,$746.72,Hollyanne Joslow,$304.03,542
307,Tea - Herbal Sweet Dreams,Laureen Dubery,$956.23,Jesse Craigmile,$726.59,177
308,Pasta - Agnolotti - Butternut,Erie Gheorghe,$30.54,Christoforo Shinn,$28.74,624
