id,produto,clientes,funcionarios,vendas,estoque
247,Potatoes - Idaho 80 Count,Ariela,Mitchel,$1.23,28
248,Anisette - Mcguiness,Elsie,Vasilis,$4.75,21
249,Tea - Herbal Sweet Dreams,Babs,Jacob,$0.79,6
250,Quiche Assorted,Maurise,Forbes,$1.46,42
251,Wine - Dubouef Macon - Villages,Sibel,Kale,$7.19,100
252,"Yogurt - Peach, 175 Gr",Jacob,Jervis,$9.30,20
253,Syrup - Monin - Granny Smith,Dilan,Josey,$7.28,7
254,Beef - Inside Round,Berget,Boy,$5.11,21
255,Wine - Valpolicella Masi,Malynda,Gleda,$3.14,5
256,Milk - Buttermilk,Patsy,Mahmoud,$8.04,97
257,Transfer Sheets,Nerita,Daune,$3.02,31
258,Guava,Boonie,Harri,$5.91,47
259,Wine - Tio Pepe Sherry Fino,Angel,Aylmar,$7.60,14
260,"Beef - Baby, Liver",Clay,Minnnie,$2.40,44
261,Gherkin - Sour,Gwenneth,Arnie,$9.00,18
262,Garlic,Harlie,Collen,$3.11,30
263,Straw - Regular,Peyter,Hilliary,$5.70,52
264,Wine - Fume Blanc Fetzer,Genovera,Rafi,$2.97,97
265,Bag Clear 10 Lb,Kira,Stanly,$1.38,14
266,Piping - Bags Quizna,Evaleen,Udall,$2.36,34
267,Wine - Riesling Dr. Pauly,Claudelle,Nell,$9.36,58
268,"Veal - Tenderloin, Untrimmed",Esme,Gery,$6.08,77
269,Broom Handle,Rey,Winslow,$7.55,64
270,Cabbage - Nappa,Joete,Neila,$3.85,89
271,Paste - Black Olive,Francisco,Arvin,$6.07,75
272,"Shrimp - 16/20, Peeled Deviened",Elvera,Tracey,$9.91,68
273,Mix - Cappucino Cocktail,Duncan,Darbie,$0.02,70
274,Table Cloth 81x81 White,Emilie,Dari,$1.18,6
275,Paper Cocktail Umberlla 80 - 180,Evelina,Mellisa,$7.50,38
276,Dasheen,Loren,Ambrosius,$3.61,78
277,Soup - Boston Clam Chowder,Robbie,Fonz,$6.62,90
278,Tomatoes - Roma,Brandise,Angeli,$1.84,89
279,Pate - Liver,Berte,Hedi,$7.32,2
280,Chocolate - Sugar Free Semi Choc,Rory,Otto,$1.68,81
281,Nut - Macadamia,Kirsten,Olly,$1.34,4
282,Water - Tonic,Crin,Sofia,$3.97,94
283,"Yogurt - Blueberry, 175 Gr",Rycca,Doralyn,$2.93,40
284,Petite Baguette,Regina,Toni,$9.47,96
285,Cheese - Cambozola,Rebeka,Ranna,$6.57,40
286,Bread - 10 Grain Parisian,Gabriele,Caresa,$0.58,12
287,Bread Roll Foccacia,Emily,Lavena,$3.81,71
288,Mudslide,Nora,Jasper,$1.79,83
289,Pork - Smoked Kassler,Bar,Vern,$8.76,31
290,"Capon - Breast, Double, Wing On",Tammara,Goldarina,$5.36,88
291,Fiddlehead - Frozen,Willetta,Kendricks,$5.88,6
292,Five Alive Citrus,Isabella,Ranna,$7.86,66
293,Sausage - Andouille,Kylie,Nicolas,$2.93,84
294,"Rum - White, Gg White",Stacey,Reidar,$4.47,26
295,"Beef - Bones, Cut - Up",Roger,Jillana,$4.64,22
296,Cookie Dough - Oatmeal Rasin,Micky,Sharlene,$1.41,15
297,"Yogurt - Raspberry, 175 Gr",Faunie,Carmelia,$8.49,62
298,Spinach - Baby,Janna,Wilden,$1.34,31
299,Snapple - Mango Maddness,Raoul,Jaquenette,$8.07,54
300,Versatainer Nc - 9388,Edith,Hailee,$4.48,94
301,Muffin Mix - Chocolate Chip,Vito,Manda,$4.68,98
302,Pork Ham Prager,Cesare,Peggy,$2.87,35
303,Lid - 16 Oz And 32 Oz,Rodolfo,Bil,$0.08,25
304,Shark - Loin,Corbie,Mirilla,$8.19,84
305,Beans - Kidney White,Shelby,Annie,$9.03,12
306,Phyllo Dough,Dulcea,Marge,$7.67,91
307,Beef - Striploin Aa,Mavra,Rip,$8.55,67
308,Sugar - Monocystal / Rock,Melody,Selinda,$3.83,36
309,Rice - Long Grain,Bryce,Parsifal,$1.25,81
310,Tart - Raisin And Pecan,Katusha,Osbourne,$9.32,80
311,"Bread - Roll, Calabrese",Janis,Erminia,$5.98,73
312,Cake - Lemon Chiffon,Elia,Sigmund,$0.00,25
313,Honey - Comb,Binny,Malorie,$9.89,7
314,"Wine - White, Riesling, Henry Of",Charyl,Fidel,$6.36,14
315,Extract - Raspberry,Marina,Dot,$9.78,68
316,Pickerel - Fillets,Orelee,Fredericka,$4.19,85
317,"Pasta - Elbows, Macaroni, Dry",Mirabel,Marthena,$6.47,10
318,Wine - Fat Bastard Merlot,Wilone,Susi,$3.70,8
319,Longos - Assorted Sandwich,Gardy,Bernie,$0.70,84
320,Vegetable - Base,Katherine,Berkie,$4.70,85
321,Cream - 18%,Jard,Kary,$6.43,41
322,Syrup - Monin - Blue Curacao,Antonina,El,$4.61,4
323,Bread - French Stick,Wilfrid,Hurley,$4.82,56
324,Chocolate - Semi Sweet,Rickard,Alyssa,$9.65,8
325,Curry Powder,Leonie,Francisca,$6.33,10
326,Nantucket Pine Orangebanana,Mireielle,Bari,$8.58,83
327,Lemon Pepper,Robinet,Dredi,$5.34,83
328,Chervil - Fresh,Pren,Rice,$9.81,97
329,Sobe - Liz Blizz,Deedee,Jamison,$3.82,37
330,Muffin - Mix - Creme Brule 15l,Justin,Jake,$3.43,14
331,Ecolab - Ster Bac,Ferrel,Hi,$0.95,29
332,Eel - Smoked,Haze,Eddie,$3.04,35
333,Cheese - Swiss,Olly,Larine,$9.13,78
334,Lettuce Romaine Chopped,Ernest,Jocelyn,$9.90,96
335,Containter - 3oz Microwave Rect.,Quill,Jerald,$2.94,47
336,Pancetta,Roxanne,Aretha,$4.60,95
337,"Soup - Campbells, Spinach Crm",Celestyna,Kim,$9.55,63
338,Arctic Char - Fillets,Rabi,Haskell,$9.16,21
339,Apple - Royal Gala,Maddy,Clarinda,$7.42,91
340,"Bread - Bagels, Plain",Barbara-anne,Silvanus,$3.86,77
341,"Bread - Dark Rye, Loaf",Tailor,Elonore,$3.40,29
342,"Pepper - Red, Finger Hot",Marcelle,Gabriella,$1.80,51
343,Turnip - Wax,Carver,Baron,$3.77,6
344,Wine - Ej Gallo Sonoma,Jacky,Kevon,$4.10,68
345,Blue Curacao - Marie Brizard,Al,Finn,$9.94,55
346,Cloves - Ground,Granny,Sindee,$0.29,37
347,Sherry - Dry,Missy,Gale,$2.55,99
348,Tomato - Peeled Italian Canned,Nathaniel,Allyn,$4.94,65
349,Wine - Remy Pannier Rose,Billy,Matti,$2.28,25
350,Pasta - Canelloni,Mitch,Sebastiano,$1.23,88
351,Pork - Caul Fat,Kelsey,Solomon,$3.24,56
352,Steel Wool S.o.s,Alexio,Amabel,$1.10,57
353,Sea Urchin,Godfree,Madeline,$4.38,67
354,"Oil - Truffle, Black",Austin,Courtney,$3.77,20
355,"Cheese - Cheddar, Medium",Hazlett,Yale,$8.59,42
356,Urban Zen Drinks,Dory,Sadye,$4.52,92
357,Sage - Ground,Lani,Jameson,$7.71,10
358,"Star Anise, Whole",Leonora,Bert,$5.17,12
359,"Soup - French Onion, Dry",Maurita,Isak,$3.82,37
360,Apples - Spartan,Sarita,Roseann,$3.92,27
361,Energy Drink - Franks Original,Dall,Vachel,$2.35,29
362,Sage Derby,Dacia,Gertrudis,$1.91,60
363,"Lamb - Whole, Fresh",Sylvester,Yolane,$6.96,1
364,"Jam - Blackberry, 20 Ml Jar",Aguie,Averil,$1.24,97
365,Beef Cheek Fresh,Jamesy,Drugi,$7.18,30
366,"Wine - White, Antinore Orvieto",Thedrick,Anna,$1.85,50
367,"Gingerale - Schweppes, 355 Ml",Fredra,Sigismundo,$7.50,37
368,"Soup - Clam Chowder, Dry Mix",Brandon,Athena,$9.92,46
369,Calaloo,Adele,Dalila,$2.21,82
370,Wine - Clavet Saint Emilion,Tadeo,Aharon,$9.43,42
371,Lamb - Rack,Robinson,Ursala,$2.98,45
372,Carbonated Water - Peach,Lin,Chelsey,$6.94,87
373,Cookies - Fortune,Neville,Bartram,$7.84,71
374,Salt And Pepper Mix - Black,Ann,Bertrando,$3.20,79
375,"Rum - Coconut, Malibu",Lincoln,Josephine,$4.12,77
376,Bread Roll Foccacia,Sarene,Yetta,$9.51,4
377,Plaintain,Merrielle,Clare,$6.88,47
378,Sauce - Oyster,Adah,Chad,$1.16,90
379,Beef - Tenderloin,Peggie,Gerrie,$7.21,62
380,"Pail - 4l White, With Handle",Ignacius,Peterus,$3.27,29
381,Ecolab - Hobart Washarm End Cap,Jeramie,Bastien,$9.50,26
382,"Juice - Orange, 341 Ml",Marketa,Terrance,$3.79,85
383,Browning Caramel Glace,Sly,Orly,$9.36,28
384,Potatoes - Fingerling 4 Oz,Hayley,Myriam,$2.24,85
385,Beets - Pickled,Corissa,Shelli,$8.84,35
386,Bols Melon Liqueur,Zebedee,Cully,$3.48,98
387,Muffin Mix - Blueberry,Olag,Brande,$4.25,12
388,"Sauce - Black Current, Dry Mix",Steve,Pam,$5.96,36
389,"Wine - Magnotta - Red, Baco",Claudio,Aldridge,$8.24,25
390,Potatoes - Yukon Gold 5 Oz,Reinold,Roseanna,$9.49,16
391,Sponge Cake Mix - Vanilla,Gerick,Adrea,$9.37,4
392,Yoghurt Tubes,Holli,Jessika,$2.43,99
393,Squid - U 5,Joanie,Kip,$6.67,28
394,Wasabi Powder,Sandy,Pamella,$7.69,17
395,Longos - Grilled Veg Sandwiches,Darelle,Neddy,$9.10,42
396,Trout Rainbow Whole,Vanya,Kipper,$6.05,35
397,Vanilla Beans,Branden,Cornie,$4.83,98
398,Isomalt,Darrel,Joby,$3.71,37
399,"Tart Shells - Savory, 4",Dominick,Goddard,$8.43,90
400,Dc Hikiage Hira Huba,Farlee,Anastasie,$5.55,51
401,Cheese - Pont Couvert,Andres,Asa,$5.16,15
402,Soup Campbells Split Pea And Ham,Georges,Cecilla,$2.86,65
403,Wine - Tio Pepe Sherry Fino,Lorilee,Greg,$5.34,73
404,Pepper - Chilli Seeds Mild,Alys,Luz,$1.79,17
405,Coffee - Decafenated,Cynthea,Augustine,$3.39,85
406,Puree - Strawberry,Nata,Bevin,$8.27,45
407,"Yogurt - Strawberry, 175 Gr",Rochell,Umberto,$8.97,62
408,"Jam - Raspberry,jar",Gwenni,Nadiya,$8.05,98
409,Cookies Cereal Nut,Bella,Annalee,$1.68,59
410,Chicken - Soup Base,Rosemary,Bernarr,$6.41,55
411,"Turkey - Breast, Double",Goldi,Ramona,$6.99,8
412,Soup Knorr Chili With Beans,Minta,Suzette,$8.16,50
413,Ostrich - Fan Fillet,Hillery,Danny,$1.04,34
414,"Nut - Almond, Blanched, Sliced",Kendra,Carlee,$3.14,94
415,"Wine - White, Pinot Grigio",Barthel,Lilia,$5.57,88
416,Pail For Lid 1537,Forester,Juliet,$1.25,57
417,Wine - Two Oceans Cabernet,Toby,Imelda,$6.96,64
418,Pepper - Chili Powder,Edith,Stanleigh,$7.92,85
419,"Beef - Kindney, Whole",Francene,Madlen,$4.57,18
420,The Pop Shoppe - Grape,Lock,Kiele,$0.07,77
421,Eel Fresh,Kandy,Debora,$5.87,74
422,Wine - Chianti Classico Riserva,Stephanus,Sean,$1.70,74
423,Pomello,Adrien,Rodi,$9.62,28
424,Long Island Ice Tea,Ede,Darrick,$2.57,42
425,Icecream Bar - Del Monte,Culley,Anallise,$4.16,69
426,Potatoes - Fingerling 4 Oz,Ilse,Hatti,$9.21,88
427,Brandy Apricot,Chandra,Yvonne,$0.31,73
428,Pomegranates,Saunderson,Kirbee,$3.72,38
429,Cotton Wet Mop 16 Oz,Quentin,Davita,$0.97,58
430,Remy Red,Denise,Julia,$3.44,26
431,Wine - Shiraz Wolf Blass Premium,Kathryne,Devin,$3.03,10
432,Bread - Bistro Sour,Quinton,Dagny,$5.04,27
433,Bread - Multigrain,Blake,Jesse,$8.55,72
434,"Oil - Shortening,liqud, Fry",Gwendolin,Ericka,$7.18,29
435,Tandoori Curry Paste,Mitchael,Faydra,$0.23,31
436,Table Cloth 54x54 White,Norbie,Clarine,$8.87,32
437,Cornstarch,Nikolas,Tasia,$8.07,63
438,"Beef - Bones, Cut - Up",Ephraim,Andriette,$2.08,34
